,pais,ano,pib,expecVida,populacao,continente
0,Brazil,1920,1610.0,32.400001525878906,27600000,Americas
1,Brazil,1921,1610.0,32.5,28200000,Americas
2,Brazil,1922,1680.0,32.5,28800000,Americas
3,Brazil,1923,1750.0,32.5,29300000,Americas
4,Brazil,1924,1710.0,32.5,29900000,Americas
5,Brazil,1925,1680.0,32.5,30600000,Americas
6,Brazil,1926,1680.0,32.5,31200000,Americas
7,Brazil,1927,1770.0,32.5,31800000,Americas
8,Brazil,1928,1930.0,32.5,32500000,Americas
9,Brazil,1929,1900.0,32.5,33100000,Americas
10,Brazil,1930,1750.0,32.5,33800000,Americas
11,Brazil,1931,1680.0,33.0,34500000,Americas
12,Brazil,1932,1700.0,33.5,35200000,Americas
13,Brazil,1933,1800.0,34.0,35900000,Americas
14,Brazil,1934,1910.0,34.5,36700000,Americas
15,Brazil,1935,1920.0,35.0,37400000,Americas
16,Brazil,1936,2060.0,35.5,38200000,Americas
17,Brazil,1937,2090.0,35.900001525878906,39000000,Americas
18,Brazil,1938,2130.0,36.400001525878906,39800000,Americas
19,Brazil,1939,2110.0,36.900001525878906,40600000,Americas
20,Brazil,1940,2090.0,37.400001525878906,41600000,Americas
21,Brazil,1941,2180.0,38.5,42600000,Americas
22,Brazil,1942,2050.0,39.70000076293945,43700000,Americas
23,Brazil,1943,2280.0,40.900001525878906,44800000,Americas
24,Brazil,1944,2310.0,42.0,46000000,Americas
25,Brazil,1945,2320.0,43.20000076293945,47200000,Americas
26,Brazil,1946,2510.0,44.79999923706055,48500000,Americas
27,Brazil,1947,2530.0,46.400001525878906,49800000,Americas
28,Brazil,1948,2720.0,48.0,51100000,Americas
29,Brazil,1949,2860.0,49.599998474121094,52500000,Americas
30,Brazil,1950,2900.0,51.20000076293945,54000000,Americas
31,Brazil,1951,2950.0,51.5,55600000,Americas
32,Brazil,1952,3080.0,52.0,57300000,Americas
33,Brazil,1953,3130.0,52.5,59000000,Americas
34,Brazil,1954,3280.0,53.0,60700000,Americas
35,Brazil,1955,3470.0,53.5,62500000,Americas
36,Brazil,1956,3460.0,54.0,64400000,Americas
37,Brazil,1957,3620.0,54.5,66200000,Americas
38,Brazil,1958,3890.0,55.099998474121094,68100000,Americas
39,Brazil,1959,4150.0,55.599998474121094,70100000,Americas
40,Brazil,1960,4400.0,56.099998474121094,72200000,Americas
41,Brazil,1961,4650.0,56.599998474121094,74300000,Americas
42,Brazil,1962,4810.0,57.099998474121094,76500000,Americas
43,Brazil,1963,4700.0,57.599998474121094,78800000,Americas
44,Brazil,1964,4720.0,58.0,81100000,Americas
45,Brazil,1965,4700.0,58.5,83400000,Americas
46,Brazil,1966,4870.0,58.900001525878906,85700000,Americas
47,Brazil,1967,4940.0,59.29999923706055,88000000,Americas
48,Brazil,1968,5270.0,59.70000076293945,90400000,Americas
49,Brazil,1969,5620.0,60.099998474121094,92700000,Americas
50,Brazil,1970,6040.0,60.599998474121094,95100000,Americas
51,Brazil,1971,6550.0,61.0,97500000,Americas
52,Brazil,1972,7150.0,61.400001525878906,99900000,Americas
53,Brazil,1973,7950.0,61.900001525878906,102000000,Americas
54,Brazil,1974,8380.0,62.29999923706055,105000000,Americas
55,Brazil,1975,8600.0,62.79999923706055,107000000,Americas
56,Brazil,1976,9260.0,63.20000076293945,110000000,Americas
57,Brazil,1977,9490.0,63.70000076293945,112000000,Americas
58,Brazil,1978,9720.0,64.19999694824219,115000000,Americas
59,Brazil,1979,10100.0,64.5999984741211,118000000,Americas
60,Brazil,1980,10800.0,64.9000015258789,121000000,Americas
61,Brazil,1981,10100.0,65.30000305175781,124000000,Americas
62,Brazil,1982,9960.0,65.5,126000000,Americas
63,Brazil,1983,9460.0,65.69999694824219,129000000,Americas
64,Brazil,1984,9770.0,65.80000305175781,132000000,Americas
65,Brazil,1985,10300.0,66.0,135000000,Americas
66,Brazil,1986,10900.0,66.4000015258789,138000000,Americas
67,Brazil,1987,11100.0,66.69999694824219,141000000,Americas
68,Brazil,1988,10800.0,67.0999984741211,144000000,Americas
69,Brazil,1989,11000.0,67.4000015258789,146000000,Americas
70,Brazil,1990,10300.0,67.5,149000000,Americas
71,Brazil,1991,10300.0,68.0999984741211,152000000,Americas
72,Brazil,1992,10100.0,68.4000015258789,154000000,Americas
73,Brazil,1993,10400.0,68.5,157000000,Americas
74,Brazil,1994,10800.0,68.9000015258789,159000000,Americas
75,Brazil,1995,11100.0,69.30000305175781,162000000,Americas
76,Brazil,1996,11100.0,69.69999694824219,165000000,Americas
77,Brazil,1997,11300.0,70.19999694824219,167000000,Americas
78,Brazil,1998,11200.0,70.5999984741211,170000000,Americas
79,Brazil,1999,11100.0,71.0,172000000,Americas
80,Brazil,2000,11400.0,71.4000015258789,175000000,Americas
81,Brazil,2001,11400.0,71.80000305175781,177000000,Americas
82,Brazil,2002,11600.0,72.0999984741211,180000000,Americas
83,Brazil,2003,11600.0,72.30000305175781,182000000,Americas
84,Brazil,2004,12100.0,72.5999984741211,184000000,Americas
85,Brazil,2005,12400.0,73.0999984741211,186000000,Americas
86,Brazil,2006,12700.0,73.5,188000000,Americas
87,Brazil,2007,13300.0,73.69999694824219,190000000,Americas
88,Brazil,2008,13900.0,74.0,192000000,Americas
89,Brazil,2009,13700.0,74.19999694824219,194000000,Americas
90,Brazil,2010,14600.0,74.4000015258789,196000000,Americas
91,Brazil,2011,15100.0,74.5,198000000,Americas
92,Brazil,2012,15200.0,74.9000015258789,199000000,Americas
93,Brazil,2013,15500.0,75.0999984741211,201000000,Americas
94,Brazil,2014,15500.0,75.30000305175781,203000000,Americas
95,Brazil,2015,14800.0,75.5,204000000,Americas
96,Brazil,2016,14200.0,75.4000015258789,206000000,Americas
97,Brazil,2017,14200.0,75.5,208000000,Americas
98,Brazil,2018,14300.0,75.69999694824219,209000000,Americas
99,Brazil,2019,14300.0,75.9000015258789,211000000,Americas
100,Brazil,2020,14500.0,76.0999984741211,213000000,Americas
